"","year","batch","doc","barrier","penetration","barrier total.containeers","barrier total.enclosed openings in earth","barrier total.protective surfaces","barrier total.covered hidden etc","barrier total.special structures","barrier total.shell animal","barrier total._","penetration total.entranceways and openings","penetration total.permeable","penetration total.body orifices and use","penetration total.autopsy etc","penetration total.wounds and deformity","penetration total.spurt and excrete","penetration total.transparency","work","leisure","home","money","relig","death","negemo","posemo","anx","anger","sad","insight","cause","discrep","tentat","certain","see","hear","feel","body","health","sexual","ingest"
"2",1560,1,"1. It is a little more or less than nine months ago that I wrote the above, which is in my own handwriting. Since then, not turning back from the favors God granted me, it seems to me I have received again, insofar as I understand, much greater freedom. Up until now, I thought I needed others, and I had more trust in help from the world. Now I understand clearly that all this help is like little sticks of dry rosemary and that in being attached to it there is no security; for when some weight of contradiction or criticism comes along, these little sticks break. So I have experience that the true remedy against a fall is to be attached to the cross and trust in Him who placed Himself upon it. I discover that He is the true friend, and through this friendship I find in myself a dominion by which it seems to me I could resist, providing God doesn't fail me, anyone who might be against me.
2. Though now I understand this truth so clearly, I used to be very fond of being liked. No longer does being liked matter to me; rather, it seems in part to weary me, except in the case of those with whom I discuss my soul or whom I am thinking of helping. For I desire that the former like me so they might bear with me and that the latter do so that they might be more inclined to believe what I tell them about the vanity of everything.
3. In the very severe trials and persecutions and opposition I experienced these past months, God has given me great courage; and the greater these trials were the greater was the courage, without my growing tired of suffering. Toward persons who spoke evil of me, not only did I feel I bore no harsh feelings but it seemed to me I gained new love for them. I don't know how this came about; it was a blessing given by the hand of the Lord.
4. It is usually my nature that when I desire something I am impulsive in my desire for it. Now, my desires bear with them such quiet that when I see them fulfilled I don't even know if I rejoice. Sorrow and rejoicing, except in matters of prayer, are completely softened in intensity; for I seem like a fool and go around like one for some days.
5. The impulses to do penance that come upon",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,8,0,10,23,0,3,3,17,3,8,17,8,1,2,6,1,2,1,1
"3",1560,2,"me sometimes and have come upon me, are great. And if I do penance, I feel it so little on account of that strong desire that sometimes it seems to me -- or almost always -- that penance is a special favor; although I don't do much since I am very sickly.
6. It is the greatest pain for me sometimes, and now more extreme, to have to go to eat, especially when I'm in prayer. This pain must be great because it makes me weep a good deal and utter words of distress, almost without being aware of it, which I usually do not do. However great the trials I have experienced in this life, I don't recall having said these words. I am not at all like a woman in such matters, for I have a robust spirit.
7. I feel in me the greatest desire, more than usual, that God have persons, especially learned men, who serve Him with complete detachment and who are held back by nothing here below; because I see it is all a mockery. Since I'm aware of the great needs of the Church -- for these afflict me so much that it seems to me silly to feel sorrow about anything else -- I don't do anything but pray to God for these persons. For I see that one person who is completely perfect would do more good with a true, fervent love of God than many others would with lukewarmness.
8. In matters of faith, I find, in my opinion, that I have much greater fortitude. It seems to me I would stand up alone against all Lutherans in order to make them understand their error. I greatly grieve over the perdition of so many souls. I see many souls that are advanced, for I know clearly God has desired their progress by means of me. And I recognize that through His goodness my soul increases each day in loving Him more.
9. It seems to me that even were I to try to experience vainglory I wouldn't be able to, nor do I see how I could think that any of these virtues are mine. It wasn't long ago that for many years I saw myself without any. And now for my part I don't do anything but receive favors, without serving, but as the most useless thing in the world. So it is that I sometimes reflect how all are advancing but me, that I am not worth anything. Certainly this",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,15,1,9,20,1,1,5,18,8,11,21,12,5,1,3,0,4,1,1
"4",1560,3,"is not humility but truth. And knowing I am so useless, I sometimes become fearful in thinking I may be deceived. So I see clearly that from these revelations and raptures -- for I play no part in them nor do I do anything more to receive them than be a blank tablet -- there come to me these benefits. This gives me assurance and makes me more calm. I place myself in the arms of God, and I trust in my desires. For these desires, certainly, I understand are to die for Him and lose all repose, come what may.
10. There come days in which I recall an infinite number of times what St. Paul says -- although assuredly not present in me to the degree it was in him -- for it seems to me I neither live, nor speak, nor have any desire but that He who strengthens and governs me might live in me. I go about as though outside myself, and so life is the severest pain for me. And the greatest thing I offer God as a principal service to Him is that, since it is so painful for me to live separated from Him, I desire to live, but out of love for Him. I should like to live with great trials and persecutions. Since I am no good for being of any help to anyone, I should like to be good for suffering so that all who are in the world might receive a little more merit, I mean by a better fulfillment of His will.
11. I haven't experienced any promise in prayer that I haven't seen fulfilled, even though the promise may have come many years previously. There are so many things I see and understand about the grandeurs of God, and of His providence, that almost any time I begin to think about it my intellect fails me, as when one sees things that are far beyond one's ability to understand; and I remain in recollection.
12. God so guards me against offending Him that I am certainly sometimes amazed. For I think I see the great care He takes of me, without my doing hardly anything. I was a sea of sins and iniquities before receiving these favors, and it seemed I was not master of myself in such a way that I could avoid them. The reason I would like this known is that one might have knowledge of the great power of God. May He be",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,7,1,12,28,2,1,4,17,4,8,20,8,5,2,0,1,4,1,0
"6",1561,1,"For Madre Ana de San Alberto.
1. Jesus be with your reverence, my daughter. It was most consoling to know that the house is so cool and that you will not have to suffer as you did a year ago. It would be a real delight for me, if it pleased God, to spend some days down there with you. I would have fewer letters and business matters to attend to and be near the little ducks and the water, which must make you feel like hermits. I don't deserve this, but I am very happy that you can enjoy it for me.
2. You should know that I never thought I loved you so much, for I have a great desire to see you. Perhaps God will so ordain. I pray very much for you and have the satisfaction of knowing that he will assist you in everything. I have no worries about your helping those souls to attain a high perfection. But you must realize you cannot treat all the nuns alike. That sister to whom our padre gave the habit should be treated like someone who is sick; no demands should be made of her that require much perfection. It's enough that she does the best she can, as they say, and avoids offending God.
3. There is much to suffer everywhere, especially when beginning, for until a house is established we take in all the nuns we can, if they have the money, so as to supply for the needs of the others. Especially in this case it was right to take her for she contributed to the start of the foundation. Bear with her, my daughter, as best you can. If her soul is in a good state, consider how she is a dwelling place of God.
4. I praise him every time he sends some joy to our padre. So that you will do this, I tell you that our padre said you were one of the best prioresses. Since you are so alone, His Majesty helps you. Regarding the money you owe Malagón, don't worry about it. It's enough that you send it when you can.
5. Our padre is well, glory to God. But he has many trials, for, as you know, the nuncio died and Tostado, who is the vicar general sent by our Most Reverend Padre, is in Madrid. Although the king until now has not wanted him to carry on any visitations, we don't know how things will end up.
6. Our padre's",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,5,12,1,8,23,4,1,3,9,6,13,10,10,1,2,2,0,1,1,1
"7",1561,2,"commission has not ended even though the nuncio is dead, and so he is still visitator. I believe he is in Pastrana now. Much prayer is necessary so that what is for the greater service of God will be done. We are praying much here and have held processions. Don't neglect to do this, for the need is now great, although it appears that everything will turn out all right.
7. Despite all his troubles our padre has not failed to attend to the affairs of your house and has spoken twice with the bishop, who received him very graciously. He said he would do all that was required and he wrote himself to that lady. He sent me a letter here last week, but he was waiting for I don't know what. Our padre is very happy and he says that everything will be done well. Don't worry if there is a little delay, for I assure you things were done with great care. The income has been satisfactory. Don't be disturbed, for everything will be done promptly.
8. If you are happy with the postulants -- I mean, the elderly woman's daughters -- you don't have to do anything else than admit them to profession, even though they may have some infirmities, for there is no woman without them. The problem with my head is a little better, although I cannot write myself. I don't write to any monastery except through a secretary, unless in regard to something special, and thus I will finish this one myself.
9. What shall I say of the commotion caused by our illnesses, especially in Seville. The enclosed letter will inform you about them. I am sorry about Encarnación, although those are infirmities that diminish as one grows older. Give her and everyone else my best regards, especially the subprioress and the foundresses.
10. The presider in Malagón is Ana de la Madre de Dios. She is a very good religious and carries out her office well without deviating one iota from the Constitutions. In Seville they have many trials. The subprioress has been anointed, and the prioress has a continuing fever. So this is not the time to ask them for something. Remember that they bore the cost of your expenses from Seville. They are going to receive some postulants and they will pay you.
11. As for the fish you want to give us, that's a joke unless you find a way to ship it, for it would cost a lot to do",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,1,1,5,6,1,8,15,2,0,2,7,2,7,11,8,0,4,0,1,2,0,0
"9",1562,1,"To the Very Magnificent and Reverend Señor Gaspar de Salazar, rector of the house of the Society of Jesus in Cuenca. My lord and my Father.
1. Jesus. The grace of the Holy Spirit be with your honor always, amen. I am delighted that the occasion has arisen in which I can send you news of myself, since you are so neglectful in sending me news about yourself. May it please our Lord that you enjoy the health I beg of him for you.
2. Many days and even months had gone by without my having received a letter from you filled with good counsel and advice. Your letter came just at the right time, for I was greatly encouraged, although your prayers must have brought me even greater benefit. I want you to know that in this house the Lord has bestowed so many favors that I can assure you I no longer have any more reason to be distressed over resistance to obedience and recollection here than at St. Joseph's. It seems the Lord is giving these souls so many graces altogether that I am stupefied. So was Father Visitator who found nothing to correct in the visitation he made a month ago. Would you give thanks to the Lord for that. In the monastery of Our Lady of Mt. Carmel, he appointed discalced friars as prior, subprior, porter, and sacristan. And one of them, who is very saintly, has been the confessor here for some time. He has done much good; and all of them are to my liking.
3. This decision has been an exceptionally good one. If this house were entrusted completely to them -- as I hope in the Lord it will be -- there would be no need for me to stay here any longer. Pray for this, that a proper remedy will be found for everything. Up to the present I have had many trials and duties, and in the winter poor health, for this house aggravates my illnesses. I consider it all worthwhile when I see the favors that His Majesty has granted me. I had a strong desire that you might know about these things, and if I could see you it would be a great consolation to me. (Pass on to the next page, for I got a bad piece of paper.) May the Lord do his will in all things.
4. The lord mayor here, whom I very much want to please, came to urge me -- and afterward continued",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,1,19,0,4,23,1,1,1,10,5,12,11,10,2,0,0,0,3,0,0
"11",1563,1,"1. Jesus be with your reverence. However great my hurry to send this messenger on, it is late because today is Sunday. I was also delayed a little because Padre Nicolao just arrived. I was delighted to see him.
2. I am now going to send your letter to Father Vicar. I am writing myself to his paternity listing the advantages or reasons there seem to be for him to give the permission; and I am telling him why Ana de Jesús was not accepted there. Understand that I am always fearful of much money, although the things they tell me about this young woman make me think that God is drawing her. Please God, this will be for his service, amen. Give her my best regards and tell her I am happy that I will be able to see her so soon. The illness of Doña María has grieved me very much. May God give her health, which is what I am begging of him, for I certainly see how much I care for her now that I am without her.
3. You must know that on the feast of Corpus Christi our Father Vicar sent me a command to go to your house. There were many censures in the bishop's orders lest the vicar would resist carrying out well what the bishop wanted him to do. So, I suppose I will be leaving here a day or two after the feast of St. John.
4. In your charity, forward to me in Medina a letter that our Father Vicar will send you, for it is necessary that I see it there. And tell them not to prepare for my arrival with any noisy reception, and I ask the same of you, for I tell you definitely that such receptions mortify me instead of making me happy. This is really true, for within myself I become upset to see how little I deserve all the attention; and the bigger the fuss, the more upset I become. See that they don't do anything special if they don't want to greatly mortify me.
5. Regarding the other things you wrote about, I am not going to say anything because, with God's favor, I will be seeing you soon. I'll stop off in Medina no more than three or four days, since I'll be returning there on my way to Salamanca. This is in accord with the orders of Father Vicar; and he does not want me to stay long in Valladolid.
6. Inform Doña",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,8,1,4,16,3,0,1,10,10,6,10,7,7,2,0,0,2,0,0
"14",1566,1,"Prologue
 
JHS
 
1. The Sisters in this monastery of St. Joseph have known that I received permission from the Father Presentado, Friar Domingo Báñez, of the order of the glorious St. Dominic, who at present is my confessor, to write some things about prayer. It seems I might be able to meet with success in doing this because I have discussed prayer with many spiritual and holy persons. The Sisters have urged me so persistently to tell them something about it that I have decided to obey them. I am aware that the great love they have for me will make what I say, so imperfectly and with such poor style, more acceptable than what is in some books that are very well written by those who know what they are writing about. And I trust in the Sisters' prayers that possibly through them the Lord will be pleased that I manage to say something about the mode and manner of life proper to this house. And if I should be mistaken, the Father Presentado, who will be the first to see this book, will either make corrections or burn it. I will not have lost anything by obeying these servants of God, and they will see what I have when left to myself and when His Majesty doesn't help me.
2. I am thinking of listing some remedies for certain common, small temptations of the devil, for since they are so common perhaps little attention is paid to them. And I shall write of other things as the Lord inspires me or that might come to my mind; for since I don't know what I'm going to say, I cannot say it in an orderly way. I believe this lack of order is best since writing this book is a thing already so out of order for me. May the Lord have a hand in all that I do so that it may conform to His holy will; these are my desires always, even though my works are as faulty as I am.
3. I know there is no lack of love in me and of the desire to help as much as I can that the souls of my Sisters may advance in the service of the Lord. This love together with my age and the experience I have from living in some monasteries may help me in speaking of ordinary things to be more successful than learned men. Since these learned men have other more important occupations",3,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,11,3,1,2,16,0,4,15,0,0,1,15,9,7,19,4,2,5,1,1,2,3,0
"15",1566,2,"and are strong, they don't pay so much attention to things that don't seem to amount to much in themselves. But everything can be harmful to those as weak as we women are. The wiles of the devil are many for women who live a very cloistered life, for the devil sees that new weapons are needed in order to do harm. I, as wretched as I am, have known how to defend myself only poorly. So I have desired that my Sisters might take warning from my own experience. I shall say nothing about what I have not experienced myself or seen in others [or received understanding of from our Lord in prayer.]
4. Not long ago I was ordered to write a certain account of my life, in which I also dealt with some things about prayer. It could be that my confessor would not want you to see this account, and so I shall put down here something of what was said there. I shall also write of other things that to me seem necessary. May the Lord's own hand be in this work, as I have begged Him; and may He direct the work to His glory, amen. CHAPTER 4
 
Urges the observance of the rule and discusses three things that are important for the spiritual life. Explains the first of these, which is love of neighbor, and how particular friendships do harm.
 
1. Now, daughters, you have seen the great task we have undertaken [for the prelate and bishop who is your superior and for the order, already included in what was mentioned, since all is for the good of the Church; and to pray for the Church is an obligation]. What do you think we must be like if we are not to be considered very bold by God and the world? Clearly, we must work hard, and it helps a great deal to have lofty thoughts so that we will exert ourselves and make our deeds comply with our thoughts. For if we strive to observe our rule and constitutions very carefully, I hope in the Lord that our prayers will be heard. I am not beseeching you to do something new, my daughters, but only that we observe what we profess; to observe this is our vocation and obligation -- although there are many degrees of observance.
2. Our primitive rule states that we must pray without ceasing. If we do this with all the care possible -- for unceasing prayer is",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,4,18,0,7,16,0,1,0,11,5,12,15,9,4,3,2,1,4,1,0
"16",1566,3,"the most important aspect of the rule -- the fasts, the disciplines, and the silence the order commands will not be wanting. For you already know that if prayer is to be genuine, it must be helped by these other things; prayer and comfortable living are incompatible.
3. It is about prayer that you asked me to say something, and I beg you that in recompense for what I am going to say you eagerly do what I have said up until now, and read it often. Before I say anything about interior matters, that is, about prayer, I shall mention some things that are necessary for those who seek to follow the way of prayer; so necessary that even if these persons are not very contemplative, they can be far advanced in the service of the Lord if they possess these things. And if they do not possess them, it is impossible for them to be very contemplative. And if they think they are, they are being highly deceived. May the Lord help me speak of these things, and may he teach me what I am about to say so that it may be for His glory, amen.
4. Do not think, my friends and daughters, that I shall burden you with many things; please God, we shall do what our holy fathers established and observed, for by walking this path they themselves established they merited this title we give them. It would be wrong to seek another way or try to learn about this path from anyone else. I shall enlarge on only three things, which are from our own constitutions, for it is very important that we understand how much the practice of these three things helps us to possess inwardly and outwardly the peace our Lord recommended so highly to us. The first of these is love for one another; the second is detachment from all created things; the third is true humility, which, even though I speak of it last, is the main practice and embraces all the others.
5. About the first, love for one another, it is most important that we have this, for there is nothing annoying that is not suffered easily by those who love one another -- a thing would have to be extremely annoying before causing any displeasure. And if this commandment were observed in the world as it should be, I think such love would be very helpful for the observance of the other commandments. But, because of either",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,11,0,5,19,0,2,1,8,4,13,18,7,0,8,0,0,1,4,0
