dokument nr,navn,"format (vidnesbyrd, breve, bøger,Soliloquies, Biographical Sketches",årstal,måned,dag,afsenderby,modtager,modtagerby,incomplete,antal kapitler,"""bog""",tilføjelser,oversætter,,religiøse oplevelser,genre-forkortelser
1,"To Alonso Venegrilla, Gotarrendura",letter,1546,8,12,Avila,Alonso Venegrilla,Gotarrendura,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,tes= spiritual testimonies
2,"To Don Lorenzo de Cepeda,[1] Quito (Ecuador)",letter,1561,12,23,Avila,Don Lorenzo de Cepeda,Quito (Ecuador),0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,sol=soliloquies
3,"To the Lords of the Town Council, Avila",letter,1563,12,5,Avila,the Lords of the Town Council,Avila,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,minor= minor works
4,"To Juan de San Cristóbal, Avila",letter,1594,4,9,Avila,Juan de San Cristóbal,Avila,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
5,"To Padre García de Toledo, Avila (?)",letter,1565,NA,NA,Avila,Padre García de Toledo,Avila,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
6,"To Don Gaspar Daza, Avila",letter,1568,3,24,Toledo,Don Gaspar Daza,Avila,0,1,StTeresaLetters1,"The autograph, now lost, was torn and parts were missing.","Kieran Kavanaugh, O.C.D.",,,
7,"To Doña Luisa de la Cerda, Antequera",letter,1568,5,18,Malagón,Doña Luisa de la Cerda,Antequera,1,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
8,"To Doña Luisa de la Cerda, Antequera",letter,1568,5,27,Toledo,Doña Luisa de la Cerda, Antequera,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
9,"To Doña Luisa de la Cerda, Antequera",letter,1568,6,9,Avila, Doña Luisa de la Cerda, Antequera,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
10,"To Doña Luisa de la Cerda, Antequera",letter,1568,6,23,Avila, Doña Luisa de la Cerda, Antequera,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
11,"To Don Cristóbal Rodríguez de Moya, Segura de la Sierra",letter,1568,6,28,Avila,Don Cristóbal Rodríguez de Moya,Segura de la Sierra,1,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
12," To Don Alvaro de Mendoza, Avila",letter,1568,7,6,Medina,Don Alvaro de Mendoza,Avila,1,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
13,"To Don Francisco de Salcedo, Avila",letter,1568,9,NA,Valladolid,Don Francisco de Salcedo,Avila,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
14,"To Doña Luisa de la Cerda, Toledo",letter,1568,11,2,Valladolid,Doña Luisa de la Cerda, Toledo,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
15,"To Padres Luis de Guzmán and Pablo Hernández, Toledo",letter,1568,12,7,Valladolid,Padres Luis de Guzmán and Pablo Hernández,Toledo,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
16,"To Doña Luisa de la Cerda, Toledo",letter,1568,12,13,Valladolid,Doña Luisa de la Cerda,Toledo,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
17,"To Diego Ortiz, Toledo",letter,1569,1,9,Valladolid,Diego Ortiz,Toledo,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
18,"To Alonso Ramírez, Toledo",letter,1569,2,19,Valladolid,Alonso Ramírez,Toledo,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
19,"To María de Mendoza, Valladolid",letter,1569,3,NA,Toledo,María de Mendoza,Valladolid,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
20,"To Doña Juana de Ahumada, Alba de Tormes",letter,1569,7,23,Toledo, Doña Juana de Ahumada,Alba de Tormes,1,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
21,"To Simón Ruiz, Medina del Campo",letter,1569,10,18,Toledo,Simón Ruiz, Medina del Campo,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
22," To Doña Juana de Ahumada, Alba de Tormes",letter,1569,10,19,Toledo,Doña Juana de Ahumada,Alba de Tormes,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
23,"To Doña Juana de Ahumada, Alba",letter,1569,12,NA,Avila,Doña Juana de Ahumada,Alba,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
24,"To Don Lorenzo de Cepeda, Quito (Ecuador)",letter,1570,1,17,Toledo,Don Lorenzo de Cepeda, Quito (Ecuador),0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
25,"To Padre Antonio de Segura, Cadalso de los Vidrios",letter,1570,2,NA,Toledo,Padre Antonio de Segura,Cadalso de los Vidrios,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
26,"To Diego de San Pedro de Palma, Toledo",letter,1570,7,15,Toledo,Diego de San Pedro de Palma,Toledo,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
27,"To Diego de San Pedro de Palma, Toledo",letter,1570,8,11,Toledo,Diego de San Pedro de Palma,Toledo,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
28,"To Diego Ortiz, Toledo",letter,1570,8,NA,Toledo,Diego Ortiz,Toledo,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
29,"To Doña Catalina Hurtado, Toledo",letter,1570,10,31,Avila,Doña Catalina Hurtado,Toledo,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
30,To Doña Isabel de Jimena in Segovia,letter,1570,NA,NA,Salamanca,Doña Isabel de Jimena,Segovia,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
31,"To Alonso Alvarez Ramírez, Toledo",letter,1571,2,5,Alba de Tormes,Alonso Alvarez Ramírez,Toledo,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
32,"To Diego Ortiz, Toledo",letter,1571,3,29,Salamanca,Diego Ortiz,Toledo,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
33,"To Diego Ortiz, Toledo",letter,1571,5,27,Avila,Diego Ortiz,Toledo,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
34,"To Doña María de Mendoza, Valladolid",letter,1571,6,NA,Avila,Doña María de Mendoza,Valladolid,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
35,"To Padre García de San Pedro, Toledo",letter,1571,8,NA,Medina del Campo,Padre García de San Pedro,Toledo,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
36," Doña Catalina Balmaseda, Medina del Campo",letter,1571,10,5,Medina del Campo, Doña Catalina Balmaseda,Medina del Campo,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
37,"To Doña Guiomar Pardo Tavera, Paracuellos",letter,1571,10,22,Avila,Doña Guiomar Pardo Tavera,Paracuellos,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
38,"To Doña Luisa de la Cerda, Paracuellos",letter,1571,11,7,Avila,Doña Luisa de la Cerda,Paracuellos,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
39,"To Doña Juana de Ahumada, Galinduste",letter,1572,2,4,Avila,Doña Juana de Ahumada,Galinduste,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
40,"To Doña Juana de Ahumada, Galinduste",letter,1572,2,NA,Avila,Doña Juana de Ahumada,Galinduste,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
41,"To Doña María de Mendoza, Valladolid",letter,1572,3,7,Avila,Doña María de Mendoza, Valladolid,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
42,"To Doña María de Mendoza, Valladolid",letter,1572,3,8,Avila,Doña María de Mendoza,Valladolid,0,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
43,"To Doña Juana de Ahumada, Alba de Tormes",letter,1572,8,27,Avila,Doña Juana de Ahumada,Alba de Tormes,1,1,StTeresaLetters1,,"Kieran Kavanaugh, O.C.D.",,,
